dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1,sampling_seconds,train_after,rank
contraceptive,rf,no_capacity,0.5125954028231835,0.44988952933862875,0.5162511755928179,0.5126260774668057,0.023060497993137686,1153.8,1.0
contraceptive,rf,removal_objective_only,0.5117767031407254,0.44870813692692196,0.515529291776863,0.5124602016143917,0.024805093985050916,1153.8,3.0
contraceptive,rf,uniform_mass,0.5014006089848355,0.43134306144372886,0.506526591773731,0.5046206529125277,0.025126364000607283,1153.8,4.0
dermatology,cart,addition_objective_only,0.9335524227772655,0.7905901875901875,0.9392725599682121,0.9328828252003905,0.022770591990556567,258.0,3.0
dermatology,cart,gpmr_full,0.934608267097924,0.7876219336219336,0.940365110734676,0.935182607214902,0.021739536002278327,258.0,1.0
dermatology,cart,no_capacity,0.9321746643906438,0.7869235209235209,0.9380635234330886,0.9334336015876603,0.021242437998298554,258.0,5.0
dermatology,cart,removal_objective_only,0.9343776086740818,0.788923520923521,0.9400444298052995,0.9352761286207332,0.022327102003619075,258.0,2.0
dermatology,cart,uniform_mass,0.9322207293715931,0.7855422548466027,0.9376700650396304,0.9308226608529465,0.02299350997665897,258.0,4.0
dermatology,knn,addition_objective_only,0.9506794829951464,0.8137154150197629,0.9542026266808875,0.9486349364970138,0.022770591990556567,258.0,2.0
dermatology,knn,gpmr_full,0.9505119233618301,0.8036666666666666,0.9542936821632473,0.9496467668237202,0.021739536002278327,258.0,3.0
dermatology,knn,no_capacity,0.9481708085283331,0.7962727272727272,0.9523173975782672,0.9472946811191625,0.021242437998298554,258.0,4.0
dermatology,knn,removal_objective_only,0.9440269095356476,0.7829999999999999,0.9490596754292406,0.9442934271143051,0.022327102003619075,258.0,5.0
dermatology,knn,uniform_mass,0.9507794732998185,0.8119595959595959,0.9543832005353744,0.9495319145486981,0.02299350997665897,258.0,1.0
dermatology,rf,addition_objective_only,0.9689103474879353,0.8588888888888888,0.9711077441077441,0.968575719162195,0.022770591990556567,258.0,2.0
dermatology,rf,gpmr_full,0.9692608077274903,0.8588888888888888,0.9715,0.9694878160383484,0.021739536002278327,258.0,1.0
dermatology,rf,no_capacity,0.9685425899306669,0.8603333333333333,0.9707962962962964,0.9687542624296576,0.021242437998298554,258.0,3.0
dermatology,rf,removal_objective_only,0.9661034477714731,0.8485555555555555,0.9685555555555555,0.9663947222191415,0.022327102003619075,258.0,5.0
dermatology,rf,uniform_mass,0.9678880480702787,0.8567777777777777,0.9700117845117845,0.9676766594811689,0.02299350997665897,258.0,4.0
dry-bean,cart,addition_objective_only,0.9073086980624713,0.823384721005361,0.9087897136895152,0.9063053495457832,0.30097288199700417,10238.2,4.0
dry-bean,cart,gpmr_full,0.9105252486631551,0.8342060970287712,0.9118061606234575,0.9093085654936285,0.3303079260140657,10238.2,3.0
dry-bean,cart,no_capacity,0.9108178123630571,0.8274002023996812,0.9121791102514051,0.9096170389223482,0.26716631799703466,10238.2,2.0
dry-bean,cart,removal_objective_only,0.911880482655509,0.8345907257585474,0.9131588023101525,0.9110215198287066,0.32852625399595126,10238.2,1.0
dry-bean,cart,uniform_mass,0.9072147948069109,0.8244732356046852,0.9087155295666952,0.9063823898663776,0.3031374580040574,10238.2,5.0
dry-bean,knn,addition_objective_only,0.9300237894192336,0.8678846625284581,0.930906758960333,0.9295090078520761,0.30097288199700417,10238.2,5.0
dry-bean,knn,gpmr_full,0.9320453191502955,0.8822861230247685,0.9327735894299256,0.9313203673925622,0.3303079260140657,10238.2,2.0
dry-bean,knn,no_capacity,0.9317268921824432,0.8820019599608473,0.9324580964404815,0.9306481206545237,0.26716631799703466,10238.2,3.0
dry-bean,knn,removal_objective_only,0.9331951028564469,0.8828539556140226,0.9339179799753589,0.9328525856699157,0.32852625399595126,10238.2,1.0
dry-bean,knn,uniform_mass,0.9311889588852693,0.8718229694994428,0.9320572556649437,0.9311285022839898,0.3031374580040574,10238.2,4.0
dry-bean,rf,addition_objective_only,0.9335730993264885,0.8745338806134589,0.9343470947986053,0.9336591758195124,0.30097288199700417,10238.2,1.0
dry-bean,rf,gpmr_full,0.9312988832428486,0.872932384376472,0.9321144871675251,0.9313136143869118,0.3303079260140657,10238.2,5.0
dry-bean,rf,no_capacity,0.931362069127032,0.8697751197184966,0.9321991100175897,0.9311553106264041,0.26716631799703466,10238.2,4.0
dry-bean,rf,removal_objective_only,0.9316147805563988,0.870473411324923,0.9324461884820552,0.9317879944277938,0.32852625399595126,10238.2,3.0
dry-bean,rf,uniform_mass,0.9330378144891205,0.8732962250264419,0.9338336212023124,0.933332626168297,0.3031374580040574,10238.2,2.0
flare,cart,addition_objective_only,0.3823918935882049,0.13671783625730993,0.6057063183728258,0.5941656461761184,0.042659046009648594,858.0,3.0
flare,cart,gpmr_full,0.4398464272652054,0.1698366927958193,0.6109753320920434,0.5978709565892101,0.04201823799870908,858.0,2.0
flare,cart,no_capacity,0.44363815156601133,0.16620754012691305,0.6068806079197455,0.5943107680544703,0.039387681996449826,858.0,1.0
flare,cart,removal_objective_only,0.3767110751859413,0.13686279084235412,0.6074508053186526,0.5945329770995428,0.04358429999323562,858.0,4.0
flare,cart,uniform_mass,0.32074990443822615,0.11679280204056239,0.6015588370947227,0.5914179195125516,0.04365749999415129,858.0,5.0
flare,knn,addition_objective_only,0.5183824468160741,0.22123755754634813,0.625278312979308,0.6078607086257631,0.042659046009648594,858.0,5.0
flare,knn,gpmr_full,0.5521523906924091,0.2356431193231305,0.6359740180611484,0.6112581061072064,0.04201823799870908,858.0,2.0
flare,knn,no_capacity,0.5571448088912142,0.2460524760482767,0.6394913678536525,0.6144563261294127,0.039387681996449826,858.0,1.0
flare,knn,removal_objective_only,0.520589430714205,0.2155496453900709,0.6348275943076835,0.6082894910958436,0.04358429999323562,858.0,4.0
flare,knn,uniform_mass,0.5313644716894111,0.2351556862013189,0.6274494194812168,0.6113809811698151,0.04365749999415129,858.0,3.0
flare,rf,addition_objective_only,0.4946926349283591,0.1918772551947244,0.6209132223913525,0.6106786438079542,0.042659046009648594,858.0,2.0
flare,rf,gpmr_full,0.51088286544294,0.21286067562523328,0.6221145058104671,0.6089879016500377,0.04201823799870908,858.0,1.0
flare,rf,no_capacity,0.48641945495660494,0.19635420554933433,0.6190264594155476,0.6065972101253617,0.039387681996449826,858.0,3.0
flare,rf,removal_objective_only,0.4782714513181726,0.20859229189996267,0.6188948585939873,0.6060803615426367,0.04358429999323562,858.0,5.0
flare,rf,uniform_mass,0.48618149707579905,0.19507309941520468,0.6201757733719984,0.6105894669543201,0.04365749999415129,858.0,4.0
hayes-roth,cart,addition_objective_only,0.8361354240224506,0.6971794871794872,0.8491880341880342,0.8473450624248144,0.005492548004258424,105.6,2.0
hayes-roth,cart,gpmr_full,0.823774922226785,0.6732051282051281,0.8377655677655678,0.8319574846106329,0.004843402004335076,105.6,5.0
hayes-roth,cart,no_capacity,0.8261311078166788,0.6762820512820512,0.8399023199023199,0.8330619234787728,0.004728928005788475,105.6,4.0
hayes-roth,cart,removal_objective_only,0.8276702613418969,0.683974358974359,0.840927960927961,0.8354517854640542,0.005111281995195896,105.6,3.0
hayes-roth,cart,uniform_mass,0.8392211832358314,0.7094871794871795,0.8505555555555556,0.849712066138716,0.005480475993826985,105.6,1.0
hayes-roth,knn,addition_objective_only,0.48720528314364253,0.35719780219780217,0.5122588522588523,0.5314046666907942,0.005492548004258424,105.6,4.0
hayes-roth,knn,gpmr_full,0.5364830496036638,0.37256410256410255,0.5701221001221001,0.5724894316832801,0.004843402004335076,105.6,2.0
hayes-roth,knn,no_capacity,0.5500905495909649,0.3769230769230769,0.5863614163614164,0.5869623112041463,0.004728928005788475,105.6,1.0
hayes-roth,knn,removal_objective_only,0.5363801205755067,0.38230769230769235,0.5651648351648352,0.5685713808452647,0.005111281995195896,105.6,3.0
hayes-roth,knn,uniform_mass,0.4613907167331394,0.3259157509157509,0.49755799755799757,0.5138735691963684,0.005480475993826985,105.6,5.0
hayes-roth,rf,addition_objective_only,0.8283994579222138,0.6852564102564103,0.8417948717948718,0.8400554133574542,0.005492548004258424,105.6,2.0
hayes-roth,rf,gpmr_full,0.8173813322429895,0.6617948717948718,0.8332478632478633,0.8246660424938891,0.004843402004335076,105.6,3.0
hayes-roth,rf,no_capacity,0.813948640930268,0.651025641025641,0.8311965811965811,0.8199073072247086,0.004728928005788475,105.6,5.0
hayes-roth,rf,removal_objective_only,0.8156981853797385,0.6541025641025641,0.8322222222222223,0.8232838600632951,0.005111281995195896,105.6,4.0
hayes-roth,rf,uniform_mass,0.8342898100059493,0.6914102564102563,0.8474358974358974,0.8455799450815534,0.005480475993826985,105.6,1.0
led7digit,cart,addition_objective_only,0.6749642538363574,0.40295959595959596,0.6985332611832612,0.6911436660145914,0.007724772007204592,404.0,4.0
led7digit,cart,gpmr_full,0.6813041283449864,0.41097979797979795,0.7038566378066378,0.6971844270399029,0.007405648003332317,404.0,1.0
led7digit,cart,no_capacity,0.6800359518673557,0.41031313131313135,0.7027891053391053,0.6961218353387066,0.00721848200308159,404.0,2.0
led7digit,cart,removal_objective_only,0.6791268567183896,0.4100707070707071,0.7020858585858586,0.6954014176483818,0.0078100539953447875,404.0,3.0
led7digit,cart,uniform_mass,0.6737932098936698,0.40054545454545454,0.6979994227994228,0.6903403277972544,0.008018010000232606,404.0,5.0
led7digit,knn,addition_objective_only,0.6672171268665711,0.40074603174603174,0.6908974025974025,0.6835562042610402,0.007724772007204592,404.0,4.0
led7digit,knn,gpmr_full,0.6769727911924062,0.4243737373737374,0.6989643578643578,0.6918951700798854,0.007405648003332317,404.0,1.0
led7digit,knn,no_capacity,0.6749363095779419,0.41653535353535354,0.6972284992784992,0.6900245029230492,0.00721848200308159,404.0,2.0
led7digit,knn,removal_objective_only,0.6715046457516354,0.40942424242424247,0.6954475468975468,0.6886024942279458,0.0078100539953447875,404.0,3.0
led7digit,knn,uniform_mass,0.6664423791418328,0.39295959595959595,0.6916078643578644,0.6841305740440632,0.008018010000232606,404.0,5.0
led7digit,rf,addition_objective_only,0.6877975259467906,0.4310606060606061,0.7081604617604618,0.7036948307759804,0.007724772007204592,404.0,1.0
led7digit,rf,gpmr_full,0.6838311515085613,0.418959595959596,0.7057205627705627,0.700993340913054,0.007405648003332317,404.0,4.0
led7digit,rf,no_capacity,0.6860254520378866,0.41934343434343435,0.707895165945166,0.7033000701060134,0.00721848200308159,404.0,2.0
led7digit,rf,removal_objective_only,0.6844835542540645,0.426963924963925,0.705707215007215,0.7011299339116671,0.0078100539953447875,404.0,3.0
led7digit,rf,uniform_mass,0.6836808455058012,0.4177215007215007,0.7059982683982685,0.7007859666215495,0.008018010000232606,404.0,5.0
pageblocks-full,cart,addition_objective_only,0.9032053919237346,0.798664861458565,0.9064658952640291,0.7164475994996681,0.10478328600991517,833.0,5.0
pageblocks-full,cart,gpmr_full,0.9066067365321855,0.7888487860551571,0.9103218562114941,0.7576134354778847,0.104302509999834,833.0,3.0
pageblocks-full,cart,no_capacity,0.9079823702341805,0.7959445675849487,0.9112804736086138,0.7566681045469221,0.10239746001316234,833.0,1.0
pageblocks-full,cart,removal_objective_only,0.9043815127654493,0.7905847005069282,0.9079892125511959,0.748235456261488,0.10559278800152243,833.0,4.0
pageblocks-full,cart,uniform_mass,0.9068264355606342,0.7999142363248707,0.9100789270143653,0.7132064364950551,0.10519333599833772,833.0,2.0
pageblocks-full,knn,addition_objective_only,0.9004328504746023,0.8072337251790911,0.9032115213229897,0.6661047897258107,0.10478328600991517,833.0,1.0
pageblocks-full,knn,gpmr_full,0.8737856254141291,0.7553009008656215,0.8782914464032687,0.6713164542570066,0.104302509999834,833.0,5.0
pageblocks-full,knn,no_capacity,0.8817327312245028,0.7457411414956172,0.886949319497795,0.7091678606717389,0.10239746001316234,833.0,3.0
pageblocks-full,knn,removal_objective_only,0.8746003229619603,0.7538721879232587,0.8792594580014422,0.6732638885141975,0.10559278800152243,833.0,4.0
pageblocks-full,knn,uniform_mass,0.898110717018522,0.8028433023082943,0.9010867247492769,0.6699799347551036,0.10519333599833772,833.0,2.0
pageblocks-full,rf,addition_objective_only,0.9449332343283681,0.8832154360279785,0.9461245376064344,0.7678687834013851,0.10478328600991517,833.0,2.0
pageblocks-full,rf,gpmr_full,0.9363117661099494,0.8613609101201728,0.9380341239468395,0.7952060072530247,0.104302509999834,833.0,3.0
pageblocks-full,rf,no_capacity,0.9346413240886414,0.8576572763750453,0.9364357075344583,0.7947136858678401,0.10239746001316234,833.0,4.0
