dataset,classifier,method,gmean,gmean_std,worst_recall,balanced_accuracy,macro_f1,rank
flare,rf,borderline_smote,0.4588152498263592,0.14409611837725,0.1586125108871469,0.6053722079200763,0.5991827810187019,7.0
flare,rf,global_cs,0.5067187848481909,0.1194575374627955,0.2208554186885653,0.6162329975839109,0.6030418603152975,5.0
flare,rf,gmm_sampling,0.4562981429101663,0.2083547327871391,0.1888644705735971,0.6223107335010307,0.613570021655464,8.0
flare,rf,gpmr_v3,0.51088286544294,0.1195282123557312,0.2128606756252332,0.6221145058104671,0.6089879016500377,4.0
flare,rf,kde_reconstructed,0.394763054423828,0.2167872795909207,0.1289327485380116,0.610178683500693,0.610155539066607,12.0
flare,rf,mc_ccr,0.4256553189679678,0.1802021862819457,0.1483602401393554,0.6108071013862173,0.598855022829234,10.0
flare,rf,mdo,0.3871322885886055,0.2119516508274446,0.1173830409356725,0.6050609483331519,0.6051923816725545,13.0
flare,rf,none,0.3134851686457774,0.2396431855802064,0.0918274853801169,0.6018045921752879,0.6013648773660972,14.0
flare,rf,ros,0.5133030955511235,0.0918960368337735,0.2171665422421301,0.6161865775348052,0.6033413728160196,3.0
flare,rf,rus,0.5338822737715221,0.0528183431057597,0.228223235703476,0.621019806027032,0.5909927945444413,2.0
flare,rf,smote,0.4241253970817818,0.1917875342972745,0.1441952843100659,0.605998708713541,0.6005917509336843,11.0
flare,rf,soup,0.5475590532929783,0.0667103732619105,0.2637963481398531,0.6233170122035873,0.6039962219709111,1.0
hayes-roth,cart,allknn,0.632706683364646,0.1224625083459616,0.4145787545787546,0.6841208791208792,0.6591806357289437,15.0
hayes-roth,cart,borderline_smote,0.8391988773199478,0.0667582066156484,0.7053846153846153,0.8514529914529915,0.8498705539036783,3.0
hayes-roth,cart,global_cs,0.8302105171211419,0.0666585251231701,0.693076923076923,0.8432478632478633,0.8416249924178907,11.0
hayes-roth,cart,gmm_sampling,0.8318636794811236,0.0732961873681306,0.7023076923076923,0.8438888888888889,0.8413440454318976,10.0
hayes-roth,cart,gpmr_v3,0.823774922226785,0.0715035124694256,0.6732051282051281,0.8377655677655678,0.8319574846106329,13.0
hayes-roth,cart,kde_reconstructed,0.8385433144321978,0.0681739399250389,0.7038461538461539,0.8509401709401709,0.8493492116850847,5.0
hayes-roth,cart,mc_ccr,0.8564742138141291,0.0576435418559119,0.7117948717948718,0.8674358974358976,0.8660170278161597,1.0
hayes-roth,cart,mdo,0.8398153771512191,0.0728966668872224,0.7101282051282051,0.8513247863247864,0.850381985519058,2.0
hayes-roth,cart,none,0.8369512115159644,0.0709759251728847,0.7053846153846153,0.8487179487179488,0.8477435426433337,8.0
hayes-roth,cart,ros,0.8385792558882301,0.071963090741488,0.706923076923077,0.8502564102564102,0.849279724979516,4.0
hayes-roth,cart,rus,0.8385350433674807,0.0528241960116477,0.6944871794871795,0.8504700854700854,0.8490229282173913,6.0
hayes-roth,cart,smote,0.8374932159509408,0.0710994105297592,0.7053846153846153,0.8492307692307692,0.8482525644856888,7.0
hayes-roth,cart,soup,0.7840753454277273,0.0893800492623406,0.629102564102564,0.802936507936508,0.8015266402663451,14.0
hayes-roth,knn,allknn,0.4943376356216341,0.1100803006255066,0.3123626373626373,0.5397619047619048,0.5340051172163307,13.0
hayes-roth,knn,borderline_smote,0.5303437663659161,0.097107269646041,0.388113553113553,0.5581135531135532,0.5713207274780815,4.0
hayes-roth,knn,global_cs,0.4973603180277849,0.1252008598282902,0.3524908424908425,0.5351526251526252,0.5482309286739655,12.0
hayes-roth,knn,gmm_sampling,0.5032438290789693,0.0946709123488856,0.363058608058608,0.5306410256410257,0.5415452625621205,10.0
hayes-roth,knn,gpmr_v3,0.5364830496036638,0.0997317109214241,0.3725641025641025,0.5701221001221001,0.5724894316832801,2.0
hayes-roth,knn,kde_reconstructed,0.5162874614614045,0.1004559880471738,0.3706227106227105,0.5451709401709401,0.5599033644849916,6.0
hayes-roth,knn,mc_ccr,0.5040310416140545,0.1028204080936004,0.3695421245421245,0.5292368742368743,0.5461437316534944,9.0
hayes-roth,knn,mdo,0.513067325156205,0.0954160189129439,0.3790109890109889,0.5393101343101343,0.5542890821005,7.0
hayes-roth,knn,none,0.4475432712949487,0.1095321570262968,0.3062087912087912,0.4855189255189255,0.5052441557427015,15.0
hayes-roth,knn,ros,0.5076927256555448,0.1256396690707584,0.364981684981685,0.5444749694749694,0.5547997468144253,8.0
hayes-roth,knn,rus,0.4980482994036052,0.0964008684213063,0.3633333333333333,0.5212332112332112,0.5447431110582869,11.0
hayes-roth,knn,smote,0.5170171205480945,0.1195159121195568,0.3713736263736263,0.5535897435897436,0.5654960500386356,5.0
hayes-roth,knn,soup,0.4885296442829475,0.1058919718785678,0.3625457875457875,0.5122222222222222,0.526737831849632,14.0
hayes-roth,rf,allknn,0.6367741754920518,0.1081306849460494,0.4077655677655677,0.6907203907203907,0.65842453926265,15.0
hayes-roth,rf,borderline_smote,0.8276156826072267,0.0634782157895963,0.6802564102564103,0.840982905982906,0.8391911834580145,8.0
hayes-roth,rf,global_cs,0.8262176428517326,0.0680006251364902,0.6787179487179488,0.839957264957265,0.8381266283729495,9.0
hayes-roth,rf,gmm_sampling,0.8221212138260499,0.0639699578727042,0.6575641025641026,0.8376068376068376,0.8336469100576651,11.0
hayes-roth,rf,gpmr_v3,0.8173813322429895,0.0713180471860484,0.6617948717948718,0.8332478632478633,0.8246660424938891,13.0
hayes-roth,rf,kde_reconstructed,0.8291009041537544,0.0650436300401169,0.6835897435897437,0.8420085470085471,0.8403422498384663,5.0
