dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1
thyroid,rf,gpmr_full,0.9689095595313911,0.9215843713762016,0.9706089228045238,0.9117631025040407
thyroid,rf,within_class_mass_permutation,0.9644872918865799,0.9115695956308681,0.9668707839249866,0.912043734584663
vehicle,cart,gpmr_full,0.6768781177446341,0.4687823416893184,0.7069464498679615,0.7052583141756759
vehicle,cart,within_class_mass_permutation,0.6850374850724017,0.48613812544045104,0.7132057748453097,0.711153794804991
vehicle,knn,gpmr_full,0.6788510517640257,0.4490979563072586,0.7173139263836938,0.7100226307941381
vehicle,knn,within_class_mass_permutation,0.6739201444232864,0.44341789992952785,0.7114138274516182,0.7048203408791898
vehicle,rf,gpmr_full,0.7162094894160318,0.48557535487768044,0.7542824617243222,0.7451850697848066
vehicle,rf,within_class_mass_permutation,0.7148021315264974,0.47682271217154937,0.7534299160142183,0.7448476462667698
wine,cart,gpmr_full,0.9258553726239169,0.8613290043290043,0.927942760942761,0.9259404203338132
wine,cart,within_class_mass_permutation,0.9249637458987042,0.8553722943722945,0.9275728715728715,0.9265133386581439
wine,knn,gpmr_full,0.9567548837374436,0.8830476190476191,0.9596825396825398,0.953121081768074
wine,knn,within_class_mass_permutation,0.9539935184273962,0.8734285714285714,0.9570687830687831,0.9498683016695196
wine,rf,gpmr_full,0.9827933082673241,0.9506666666666667,0.9835555555555555,0.980559741908436
wine,rf,within_class_mass_permutation,0.9815903706785069,0.9509437229437229,0.9822510822510823,0.9794755876199575
winequality-red,cart,gpmr_full,0.11712241850799804,0.07300591296826534,0.36343293542836036,0.27447972614308536
winequality-red,cart,within_class_mass_permutation,0.060923532235431316,0.03526588224767359,0.3362155872927079,0.2649401609733945
winequality-red,knn,gpmr_full,0.16116349904944227,0.08461245078740158,0.346973487278722,0.22563629230018223
winequality-red,knn,within_class_mass_permutation,0.1859782825769752,0.11553886590771434,0.3597835890203323,0.24288863215697598
winequality-red,rf,gpmr_full,0.16428989589729015,0.09705496152469578,0.41397264206634105,0.3132357848480433
winequality-red,rf,within_class_mass_permutation,0.12055400721107748,0.07979636423287997,0.3949988348418128,0.31414472722676484
